🕘️更新时间,#genre#
2025-03-27 06:19:55,https://svip.high24-playback.com/20250129/17159_7bca93c4/2000k/hls/mixed.m3u8$春晚

🎉2025春晚,#genre#
央视春晚,https://svip.high24-playback.com/20250129/17159_7bca93c4/2000k/hls/mixed.m3u8$春晚
央视春晚,https://svipsvip.ffzyread1.com/20250129/35458_c988286f/index.m3u8$春晚
粤港澳春晚,https://svipsvip.ffzyread1.com/20250129/35459_cb6b4bc0/index.m3u8$春晚
江苏春晚,https://svipsvip.ffzyread1.com/20250101/34720_0d5e4b60/index.m3u8$春晚
安徽春晚,https://svipsvip.ffzyread1.com/20250129/35454_7487d340/index.m3u8$春晚
川渝春晚,https://svipsvip.ffzyread1.com/20250129/35455_18491156/index.m3u8$春晚
辽宁春晚1,https://svipsvip.ffzyread1.com/20250129/35456_a631032a/index.m3u8$春晚
辽宁春晚2,https://svipsvip.ffzyread1.com/20250129/35457_6898fca8/index.m3u8$春晚

📡江西频道,#genre#

📺港台频道,#genre#
凤凰中文,http://aktv_stream1.m16tv.cfd/stream/aktv/null-3/AKTV.m3u8$白名单
凤凰中文,https://cdn.163189.xyz/live/fhzw/stream.m3u8$cdn
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw$php
凤凰中文,http://php.jdshipin.com/PLTV/iptv.php?id=fhzw$php
凤凰资讯,http://ali.hlspull.yximgs.com/live/_duan_ju_bao_bao_bao_xiao_shi_hou_zuo_guo_ya___Phx_HD.flv$白名单
凤凰资讯,http://aktv_stream1.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8$白名单
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8$cdn
凤凰资讯,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzx$cdn
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx$php
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$php
凤凰资讯,http://php.jdshipin.com:8880/iptv.php?id=fhzx$php
凤凰资讯,http://php.jdshipin.com/PLTV/iptv.php?id=fhzx$php
凤凰香港,http://aktv_stream1.m16tv.cfd/stream/aktv/null-5/AKTV.m3u8$白名单
翡翠台4K,https://cdn.163189.xyz/live/fct4k/stream.m3u8$cdn
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8$cdn
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn$cdn
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn$php
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct$php
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct$php
明珠台,https://cdn5.163189.xyz/live/mzt/stream.m3u8$cdn
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn$cdn
无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn$cdn
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn$php
无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw$php
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt$php
无线新闻,http://php.jdshipin.com/smt.php?id=inews_twn$php
无线新闻,http://php.jdshipin.com:8880/PLTV/iptv.php?id=tvbxw$php
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw$php
中天新闻,http://ali.hlspull.yximgs.com/live/_duan_ju_bao_bao_bao_xiao_shi_hou_zuo_guo_ya___CTI__HD.flv$白名单
中天新闻,http://aktv_stream1.m16tv.cfd/stream/aktv/null-6/AKTV.m3u8$白名单
中天新闻,http://122.117.71.103:8540/http/220.130.87.218:8081/hls/78/80/ch063max.m3u8$白名单
寰宇新闻,http://aktv_stream1.m16tv.cfd/stream/aktv/null-7/AKTV.m3u8$白名单
寰宇新闻,http://122.117.71.103:8548/http/220.130.87.218:8081/hls/76/818/ch062.m3u8$白名单
东森新闻,http://aktv_stream1.m16tv.cfd/stream/aktv2/null/AKTV.m3u8$白名单
TVBS新闻,http://aktv_stream1.m16tv.cfd/stream/aktv3/null-2/AKTV.m3u8$白名单
TVBPLUS,https://cdn.163189.xyz/live/tvbp/stream.m3u8$cdn
TVBJ1,https://cdn3.163189.xyz/live/j1/stream.m3u8$cdn

🌏央视频道,#genre#

💫卫视频道,#genre#

⛹️体育频道,#genre#
纬来体育,http://60.248.77.83/sat/tv721.flv$江西
纬来体育,rtmp://116.93.98.236/sat/tv721$江西

🏀咪咕频道,#genre#

👶少儿频道,#genre#

🎵音乐频道,#genre#

🎬影院频道,#genre#
